Word,Frequency,Updated_Frequency_w2v,Similar_Words_w2v
good,6931,7247,"wise, enjoyed, impressed, impressive, liked, alot"
food,6667,6667,None
place,6079,6632,"weekday, casual, prebooking, pub, peaceful, evening, terrace, relax, gang, happing, sky, nucleya, sunset, playlist, shack, tiki"
order,3474,3964,"arrive, parcel, burnt, send, via, waa, sent, jumbo, faasos, square, waited, wrong, singaporean, lollipop"
service,3304,3478,"improvise, bringing, handling, behavior, maintained, serving, sevice, responsive, tushar, servicing, descent, suvendu, akash, dancefloor, steward, raza"
chicken,3103,5526,"drum, chiken, stick, boneless, pao, sizzle, bamboo, babycorn, drumstick, smoky, patty, lamb, popcorn, served, cooked, bbq, royyala, breast, nugget, undercooked, toss, lasooni, roast, dragon, leg, pomfret, kung, kabab, flavourful, macaroni, grilled, prawns, murg, dum, succulent, chichen, shoot, marinate, teriyaki, murrel, lasagne, tangidi, bangla, kodi, vepudu, rosemary, ghost, coat, golden, masalas, nawabi, mamsam, pandumirchi, buffalo, stew, tawa, flavorful, dumpling, kalmi, kheema, murgh, rogan, mince, spring, mash, moroccan, peri, batter, char, looked, chunky, godavari, mirchi, pahadi, dice, marag, bone, marinating, manchuria, devil, boil, lollypop, bhuna, chickn, handi, cashew, lazeez"
taste,2971,3503,"muda, preparation, consistency, test, bheemavaram, oily, except, thick, gongura, pachi, pulav, ragi, manchuri, salan, broth"
ambience,2128,2249,"atmosphere, setup, deck, ambeince"
one,2040,2108,easily
time,2021,2026,gap
great,1978,2251,"fantastic, fabulous, exceptional, ripan, shakeel, loved, wow, continuous"
try,1942,1955,"admit, paani, chettinadu"
go,1873,2094,"hop, invited, out, reunion, post, schedule, afternoon, dissapointed, thursday"
like,1740,1782,"dint, coocked"
visit,1728,1770,"overallrating, pachimirchi, epic, recommendable, buddy, sucker"
really,1674,1732,govind
also,1599,1657,sufficient
serve,1507,1602,"refill, finger, dhal, jal"
well,1507,1554,nicely
restaurant,1449,1933,"neatness, branch, gvk, glad, title, urban, asia, hyatt, khaan, pavilion, saab, facility, common, china, diner, chaos, maintenance, mismatch, kritunga, banjara, justice"
best,1448,1547,"unique, jewel, favourites"
nice,1443,1682,"gochibowli, verry, chilling, sober, mainly, lightly, maincource, servise, cozy, awsm, warm"
staff,1420,1640,"patient, karthik, ware, crew, vallet, courtious, efficient, understanding, waitress, gentleman, yamuna, professional, attend, requirement, ravi, nature, surender"
biryani,1403,1889,"ulavacharu, musalam, motton, kaju, piecec, ate, palav, raju, briyani, gari, manchuryia, fahm, comparing, afghani, josh, biryans, pulavs, tuglaq, lucknowi, avakai, kunda, suprise, shah, ghouse, kotha, natukodi, paradise, ugly, shortage, tasting, avg, bagara, behrouz, avakaya"
get,1378,2023,"beforehand, realise, generate, inspite, occupy, hr, spell, quickly, booking, due, advise, despite, operate, mostly, queue, inform, cancel, reserve, beware, struggle, sometimes, switch, saw, pass, empty"
