Restaurant,Review,Rating,Edited_Review,language,Split_Review,food_score,food_stars,ambiance_score,ambiance_stars,service_score,service_stars,taste_score,taste_stars,staff_score,staff_stars,waiting time_score,waiting time_stars,quality_score,quality_stars,quantity_score,quantity_stars,delivery_score,delivery_stars,cleanliness_score,cleanliness_stars,price_score,price_stars,music_score,music_stars,general_score,general_stars
Beyond Flavours,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective .
Good place for a sate brunch. One can also chill with friends and or parents.
Waiter Soumen Das was really courteous and helpful.",5.0,"The ambience was good, food was quite good . had Saturday lunch , which was cost effective . Good place for a sate brunch. One can also chill with friends and or parents. Waiter Soumen Das was really courteous and helpful.",en,The ambience was good. Food was quite good. Had Saturday lunch. Lunch was cost effective. Good place for a sate brunch. One can also chill with friends. One can also chill with parents. Waiter Soumen Das was really courteous. Waiter Soumen Das was helpful.,0.9997325079602888,5,0.9997236583876656,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9902095962315798,5,0.0,0,0.996555254193178,5
Beyond Flavours,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,5.0,Ambience is too good for a pleasant evening. Service is very prompt. Food is good. Over all a good experience. Soumen Das - kudos to the service,en,"Ambiance is too good. Ambiance is good for a pleasant evening. Service is very prompt. Food is good. Over all, a good experience. Soumen Das - kudos to the service.",0.9997277150541777,5,0.9996733995722025,5,0.9872360641602427,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9955457262622076,5
Beyond Flavours,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) ....... Also the music in the background is amazing.,5.0,A must try.. great food great ambience. Thnx for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta:) . Also the music in the background is amazing.,en,A must try. Great food. Great ambience. Thanks for the service by Pradeep and Subroto. My personal recommendation is Penne Alfredo Pasta. Also the music in the background is amazing.,0.9997633025195682,5,0.9997435067489278,5,0.9989393550204113,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9997799780612695,5,0.9995565355875442,5
Beyond Flavours,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",5.0,"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",en,Soumen das and Arun was a great guy. Only because of their behavior and sincerity. And good food off course. I would like to visit this place again.,0.9996460657275748,5,0.0,0,0.0,0,0.0,0,0.9594300258904696,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9795380458090222,5
Beyond Flavours,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,5.0,Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,en,Food is good. We ordered Kodi drumsticks. We ordered basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,0.9997277150541777,5,0.9997487692162395,5,0.9994436838605907,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9996400560436692,5
Beyond Flavours,"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",5.0,"Ambiance is good, service is good, food is aPradeecp and subro best service Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",en,Ambiance is good. Service is good. Food is aPradeecp. Food is good. Papiya is a good hostess. Your caption is very good. This is a 4-star restaurant.,0.9073280637458083,5,0.9997343988507055,5,0.9997076976724202,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9689233867563113,5
Beyond Flavours,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",5.0,"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",en,It's a very nice place. Ambience is different. All the food we ordered was very tasty. Service is also good. It's worth a visit. It's reasonable as well. Really a must-visit place.,0.9995404046785552,5,0.9980196779360995,5,0.9997198880446376,5,0.9995404046785552,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9992050938344619,5
Beyond Flavours,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,4.0,Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,en,"Well, after reading so many reviews... Finally, visited this place. The ambience was so good. Coming to food, crispy corn is nice. Tawa fish was ok. Basket Biryani disappointed us. Biryani was ok but not flattering as they claimed. Staff was polite and prompt. Especially Pradeep and Suman.",0.9996369367436273,5,0.9997370317869354,5,0.0,0,0.0,0,0.998085823492147,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9991532640075699,5
Beyond Flavours,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",5.0,"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",en,"Excellent food. Specially if you like spicy food. Courteous staff. Shubro, pradeep, and papiya gave excellent service to our corporate team dinner. Overall great for team dinners and party.",0.9992532947726431,5,0.0,0,0.9996403569966787,5,0.0,0,0.9987386330612935,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9992107616102052,5
Beyond Flavours,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",5.0,"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",en,Came for the birthday treat. Treat of a close friend. Perfect place for a treat. Very hospitable staff. Cooperative staff. Food was delicious. Ambience was good. Music was good. Lighting was good. Chili honey lotus stem is a must try. Special mention to Papiya. Papiya took good care of us.,0.9997656778650708,5,0.9997151153365849,5,0.0,0,0.0,0,0.956752769096056,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.9997215465264162,5,0.988988777206032,5
