Word,Frequency,Updated_Frequency_ft,Similar_Words_ft
good,6931,7140,"vgood, goood, goodfood, goody, goo, greatly, greasy, goodie, njoyed, wood, gooey, nicely, nicer, quickly, foood, primavera, god, enjoyed, quietly"
food,6667,6686,"foods, fod, foodgasm, foody, survivingforfood, fooding"
place,6079,6406,"olace, embrace, misplace, trace, peace, pl, plc, weekdays, face, mnc, terrace, offence, abundance, atmosphere, amibence, girlfriend, fool, lods, neighborhood, ofc, planning, evening"
order,3474,3616,"orderd, reorder, ordering, received, orr, receiving, oder, reg, der, earlier, oouder, manchuryia, ordred, aap, manchuria, recieved"
service,3304,3409,"servicing, serving, servise, sarvice, serivice, sevice, serv, seevice, advice, device, impolite, staf, politeness, reality"
chicken,3103,4595,"chickn, chickpea, chiken, chico, chic, chickenfrybiryani, grilled, drumsticks, bamboo, drumstick, tanduri, peri, murgh, murg, podi, tandri, teriyaki, chichen, tangdi, khichdi, pepperoni, mirchi, natukodi, kodi, blacken, drum, kabab, tangadi, periperi, kababs, sikanderi, chimichuri, fishy, lollipops, tangri, hakka, tangidi, thicker, bbq, tawa, prawns, garu, koi, muttan, kung, popcorn, manchuriyan, nri, gari, pandumirchi, kabaab, nadi, yaki, dumb, kebabs, dump, kekab, vepudu, bandi, nihari, tikkas, chii, pouri, roganjosh, hari, gr, grab, potpourri, pourri, chi, khimchi, yakitori, token, kasmiri, chili, pulav, lamborghini, kawab, kashmiri, marinating, lamb, chief, kadi, murrel, pulavs, dum, peppy, praws, chilled, button"
taste,2971,3530,"tastebud, tastebuds, tastey, tastewise, tasted, tasts, tastefull, tasteful, tast, tasteless, tastless, overcook, tastier, ragi, tastiest, tasting, okayish, equally, masterpiece, paste, qubani, masti, icy, kheema, spicey, roasted, raita, pulaos, eggs, gravey, toothpaste, ricotta, equal, patty, spiced, palav, tase, pani, thick"
ambience,2128,2209,"ambinence, ambince, ambieance, embience, ambienece, ambient, ambeince, silence, exprience, ambiece, enhance, convenience, aimbence, fence, presence, amid, patience"
one,2040,2278,"gvkone, zone, tone, brand, phone, calzone, bone, ne, whereinhyderabad, june, stone, tune, shotoniphone, toblerone, brandy, cyberabad"
time,2021,2106,"times, lifetime, anytime, timer, sometime, everytime"
great,1978,2390,"njoy, amazingly, awesomeness, awesomely, excelent, niche, amazed, precious, awe, fantastic, superbikes, amd, groove, amit, superbly, enjoyment, loved, joy, excellence, plentiful, handful, fantabulous, excessively, affect, fantasy, supervisor, subhendu, excels, supercars, superr, subendhu, fabulous, amul, ful, wonderfully, supervise, peaceful, musician, reallly, enjoyable, jakirul, superior, subendu"
try,1942,2013,"sultry, musttry, favorites, favourites, fav, tribal"
go,1873,2740,"tunday, league, yesterday, thursday, anyday, tuesday, weekday, bday, sundays, goid, monday, wednesday, revisit, holiday, visitor, week, afternoon, ago, teammate, visible, teammates, diner, visiting, corporate, vijay, incorporate, aftr, yay, evenings, trend, ajay, visitied, dirty, abhay, relax, corporates, hearty, goa, dineout, district, everyday, official, tear, vis, deposit, wanted, recently"
like,1740,1877,"liked, unlike, dislike, likely, ethic, blant, homelike, preferred, somewhat, touched"
visit,1728,1830,"visuals, vist, visual, buddy, bn, govind, visted"
really,1674,1725,"jayanta, kusul, raza, overal, overwhelm"
also,1599,1659,"quiche, ugh, impressed"
serve,1507,1647,"served, observe, servered, preserve, deserve, starve, stash, task, reserve, stater, tab, starry, status"
well,1507,1884,"percent, promptly, permanent, aptly, silent, perform, rightfully, policy, wisely, extent, fraindly, kindly, gracefully, thoughtful, equivalent, fully, present, accordingly, property, profusely, po, supremely, quotient, importantly, poorly, litre, spontaneous, split, barely, fly, awfully, awful, welcoming, impeccable, trained, absent, proportional, humbleness, impatient, farewell, student, marketing"
restaurant,1449,1796,"restaurants, restaurents, restaurent, resturant, hygeine, restuarant, skyline, hygiene, tagline, restarent, restrict, aura, cusine, decline, aur, restuarent, shine, hyatt, easy, gvk, ignorant, atoneplaceonline, business, odia, rare, fare, genuine"
best,1448,1691,"bestestest, west, amidst, bestseller, besan, zest, famous, yummiest, favs, test, fest, unique, hyderabadis, hyderabadfoodblogger"
nice,1443,1460,"police, nijami, voice"
staff,1420,1726,"attentive, politely, helpfull, professionally, hospitalise, hospitable, professional, behavior, professionalism, attendant, hospital, atm, understaffed, uncourteous, pradeep, proactive, behaviour"
biryani,1403,1687,"biryanis, biryaani, biryans, biriyanis, birayani, muttonbiryani, biiyani, briyani, goodbiriyani, bira, afgani, mani, afghani, bird, zafrani, mandis, zaffrani, ulavacharu, rani, khubani, kubani, kaju, kodivepudu, dhuni, handi, kurbani, raju, mandhi, hundi, motton"
get,1378,2558,"getaway, remind, reek, closed, recall, inform, boost, repair, reviewer, refund, enclose, result, vow, refuse, walk, rescue, confirm, id, closer, learnt, revamp, infront, repute, tissue, learn, reminds, rethink, regret, gem, arrives, act, insect, midway, refer, fire, neck, return, allow, revolve, resist, arrive, genre, bother, react, regard, closeby, reachable, research, leak, rep, require, dismay, takeaway, answer, hr, reviews, informed, infact, board, untill, remember, anyway, anyhow, giveaway, minus, lose, gm, incorrect, cz, related, ready, reminded, early, sense, insult, attach"
veg,1247,1774,"nonveg, vegan, eg, vegeterians, vegetarians, vegeterian, veganyums, munchurian, manchurian, veey, nov, munchuria, sizzler, sizzle, veggies, noodels, godavari, nom, puzzle, manchuri, puff, ala, manchow, ali, malaysian, szechuan, panner"
experience,1247,1292,"experienced, inexperienced, experince, experiment, exp, expert, essence, negligence"
love,1244,1424,"glove, clove, amazon, yumilicious, absolute, cheerful, luscious, gracious, humongous, delightful, lotus, amezing, hummus, absolutly"
bad,1162,1619,"horribly, fever, worst, badam, whoever, badly, badami, azad, azaad, sever, stale, throw, whatsoever, repeat, forever, lucknow, spoil, wherever, nevertheless, aesthetic, ad, jenever, wad, terrible, yaad, regardless"
make,1106,1288,"sakeel, wake, joke, sake, lake, fake, suresh, ke, gulp, flake, cash, bake"
starter,1088,1488,"starters, started, quarter, appetiser, tart, alakarte, headquarters, latter, matter, appetizer, tartar, maincourse, strters, karte, soupy, fisherman, alacarte, tai, okaish, soumen, okish, lavish, appetite, batter, okeish, ish, establish, maincource, sushis, lobster, ter, standout, fizz, sushi, man"
would,1074,1161,"wouldnt, highlife, mould, woh, definitly, woah, world"
come,1065,1144,"comeback, comet, assume, epitome, member"
even,1035,2126,"seven, stall, manage, clearly, stag, tall, fellow, waitress, cleaner, waited, manageable, waiting, tag, stalk, acceptable, bouncer, stags, eleven, stack, stage, fell, sk, waiters, guess, walkin, stay, platform, unacceptable, ac, evenly, await, eventually, understand, stand, godfather, form, weather, target, glow, respite, state, either, mismanagement, waa, repeatedly, ther, evn, neither, former, event, tardy, swallow, eve, stll, owner, agen, takeout, admin, bookmark"
dish,1026,1551,"distinguish, mean, ravish, aatish, stylish, kishmish, di, spanish, mei, snobbish, rubbish, publish, irish, raan, meh, stem, lebanese, currently, current, raans, gosh, josh, diff, salan, dimsum, metal, ashish, curse, japanese, persian, dimsums, push, mex, appetising, saalan, turkish, rise, ripan, rash, finish, garnish, sweetdish, ocean, appal, yan, marination, method, rabdi, differ, methi, rayala, rajiala, differently, mezze, relish, sikandari, tempura"
give,955,1738,"remove, wave, misbehave, case, hve, wasnt, payment, ive, custard, stock, repetitive, have, deduct, remotely, five, odd, waverock, constructive, isnt, dnt, dense, expire, requested, reply, customised, customise, resolve, customized, remark, required, wash, assure, nt, immense, careless, procedure, restraunt, replacement, addictive, wont, wtf, problem, message, custom, feed, wordpress, reddy, pressure, address, hold, calmness, proceed, card, process, resto, responsive, negative, restraint, requirement, unresponsive, promise, billing, wastage, save, stink, image, negligible, waah, fold, respective"
must,953,1014,"mustard, mustang, mug, muscle, exhaust, lust, musallam, mud"
quality,867,904,"guality, quanity, ability, facility, quaint, afford, quattro, efficiency"
